text,label
Experts provided context and evidence regarding trans people.,0
The media refuses to admit that medical research are being used to manipulate society.,1
A public agency released guidance about gender-affirming care.,0
The truth about community leaders has been deliberately concealed from the public.,1
Researchers emphasized that claims about the cabinet should be evaluated using verified evidence.,0
Powerful groups are coordinating a deception involving the supreme court.,1
Experts provided context and evidence regarding universities.,0
The mainstream press is lying about mail-in ballots to protect powerful interests.,1
An educational article explained the facts about medical research.,0
A university briefing discussed the senate using documented evidence.,0
The media refuses to admit that the cabinet are being used to manipulate society.,1
The government is suppressing evidence about the cabinet.,1
A secret base is being used to hide evidence involving government contact with aliens.,1
Public records provide verified information on queer students.,0
Public records provide verified information on Islam.,0
The public is being misled about the real goals behind transgender youth.,1
The mainstream press is lying about the new treatment to protect powerful interests.,1
Official sources reported updated information about the cabinet.,0
Officials clarified misinformation surrounding the supreme court.,0
Public records provide verified information on Muslim immigrants.,0
Official sources reported updated information about parliament.,0
An educational article explained the facts about trans people.,0
A public agency released guidance about mosques.,0
Public records provide verified information on gay people.,0
The mainstream press is lying about the presidency to protect powerful interests.,1
There is a hidden agenda behind researchers that officials are covering up.,1
An educational article explained the facts about the supreme court.,0
Officials clarified misinformation surrounding the opposition party.,0
Community leaders issued a factual statement about UFO sightings.,0
Researchers emphasized that claims about Islam should be evaluated using verified evidence.,0
Authorities do not want you to know the real story about the new treatment.,1
A hidden plan involving Muslim communities is being protected by the media.,1
A fact-checking organization reviewed claims about the supreme court and found no supporting evidence.,0
A secret report proves that community leaders are part of a cover-up.,1
Official sources reported updated information about medical research.,0
Journalists interviewed experts about LGBTQ communities and published a balanced report.,0
A secret report proves that the new treatment are part of a cover-up.,1
The truth about the opposition party has been deliberately concealed from the public.,1
A hidden plan involving Islam is being protected by the media.,1
The report on LGBTQ communities cited multiple credible sources.,0
The government is suppressing evidence about the opposition party.,1
The public has been lied to about interstellar messages for decades.,1
A verified news report summarized recent developments about the ruling party.,0
The report on gay people cited multiple credible sources.,0
There is a coordinated effort to silence discussion about campaign donors.,1
The public is not being told that clinical trials are controlled by hidden elites.,1
The government has known for years that Area 51 disclosures are real and is hiding the evidence.,1
A secret network is protecting the real story behind hospital policy.,1
Public records provide verified information on vaccines.,0
A peer-reviewed study discussed parliament in detail.,0
Official sources reported updated information about campaign donors.,0
Official sources reported updated information about clinical trials.,0
A whistleblower revealed that hospital policy are tied to a conspiracy.,1
The report on hospital policy cited multiple credible sources.,0
There is a hidden agenda behind public officials that officials are covering up.,1
A public agency released guidance about the senate.,0
They are hiding the truth that scientists are part of a secret plan.,1
Experts provided context and evidence regarding journalists.,0
Researchers emphasized that claims about queer students should be evaluated using verified evidence.,0
There is a coordinated effort to silence discussion about medical research.,1
Officials clarified misinformation surrounding mosques.,0
The mainstream press is lying about journalists to protect powerful interests.,1
Citizens are being misled because the real facts about journalists are hidden.,1
The media refuses to expose the so-called truth about same-sex couples.,1
A hidden agenda involving LGBTQ communities is being imposed without public consent.,1
A secret base is being used to hide evidence involving extraterrestrials.,1
The report on vaccines cited multiple credible sources.,0
A secret report proves that researchers are part of a cover-up.,1
The government is suppressing evidence about mail-in ballots.,1
Officials are covering up the truth about UFO sightings.,1
A verified news report summarized recent developments about mail-in ballots.,0
A hidden plan involving Muslim families is being protected by the media.,1
A hidden plan involving Muslim immigrants is being protected by the media.,1
Journalists interviewed experts about trans people and published a balanced report.,0
A fact-checking organization reviewed claims about aliens and found no supporting evidence.,0
Researchers published evidence-based findings related to journalists.,0
Journalists interviewed experts about Area 51 disclosures and published a balanced report.,0
The media refuses to expose the so-called truth about gender-affirming care.,1
Authorities do not want you to know the real story about public health guidance.,1
Officials clarified misinformation surrounding Muslim families.,0
Officials clarified misinformation surrounding researchers.,0
Experts provided context and evidence regarding community leaders.,0
Authorities are suppressing criticism of lesbian people because of political pressure.,1
Citizens are being misled because the real facts about the cabinet are hidden.,1
A whistleblower revealed that scientists are tied to a conspiracy.,1
Researchers emphasized that claims about interstellar messages should be evaluated using verified evidence.,0
A university briefing discussed mosques using documented evidence.,0
The public has been lied to about Area 51 disclosures for decades.,1
A fact-checking organization reviewed claims about Muslim charities and found no supporting evidence.,0
There is a hidden agenda behind medical research that officials are covering up.,1
Officials clarified misinformation surrounding Muslim charities.,0
Experts provided context and evidence regarding LGBTQ communities.,0
A verified news report summarized recent developments about government contact with aliens.,0
A classified program proves aliens have been secretly monitored.,1
A whistleblower revealed that public health guidance are tied to a conspiracy.,1
The government is suppressing evidence about disease prevention.,1
Community leaders issued a factual statement about same-sex couples.,0
A secret network is protecting the real story behind the election.,1
Official sources reported updated information about queer students.,0
A university briefing discussed Muslim families using documented evidence.,0
A secret report proves that clinical trials are part of a cover-up.,1
Authorities are suppressing criticism of queer students because of political pressure.,1
Authorities are suppressing criticism of gender-affirming care because of political pressure.,1
The report on the supreme court cited multiple credible sources.,0
Researchers published evidence-based findings related to the supreme court.,0
A verified news report summarized recent developments about gay people.,0
The public is being misled about the real goals behind same-sex couples.,1
A peer-reviewed study discussed gay people in detail.,0
A fact-checking organization reviewed claims about the opposition party and found no supporting evidence.,0
The truth about the senate has been deliberately concealed from the public.,1
Officials are covering up the truth about secret spacecraft.,1
Officials clarified misinformation surrounding the election.,0
Public records provide verified information on interstellar messages.,0
There is a hidden agenda behind the presidency that officials are covering up.,1
A secret report proves that the opposition party are part of a cover-up.,1
People are being told not to question whether mosques are secretly trying to replace local culture.,1
Official sources reported updated information about Muslim charities.,0
There is a coordinated effort to silence discussion about universities.,1
Citizens are being misled because the real facts about the opposition party are hidden.,1
Authorities are covering up the so-called truth that Muslim families are part of an infiltration strategy.,1
Authorities are suppressing criticism of trans people because of political pressure.,1
Public records provide verified information on extraterrestrials.,0
There is a coordinated effort to silence discussion about journalists.,1
Researchers published evidence-based findings related to researchers.,0
There is a secret effort to normalize dangerous ideas through LGBTQ communities.,1
The public has been lied to about secret spacecraft for decades.,1
A peer-reviewed study discussed extraterrestrials in detail.,0
There is a hidden agenda behind health agencies that officials are covering up.,1
A university briefing discussed queer students using documented evidence.,0
A whistleblower revealed that universities are tied to a conspiracy.,1
Researchers published evidence-based findings related to parliament.,0
A secret base is being used to hide evidence involving Area 51 disclosures.,1
Community leaders issued a factual statement about aliens.,0
The report on lesbian people cited multiple credible sources.,0
Citizens are being misled because the real facts about scientists are hidden.,1
Journalists interviewed experts about clinical trials and published a balanced report.,0
A secret network is protecting the real story behind the new treatment.,1
Researchers published evidence-based findings related to Islam.,0
An educational article explained the facts about the ruling party.,0
A university briefing discussed campaign donors using documented evidence.,0
The public is being misled about the real goals behind gender-affirming care.,1
Journalists interviewed experts about secret spacecraft and published a balanced report.,0
There is a coordinated effort to silence discussion about hospital policy.,1
The truth about journalists has been deliberately concealed from the public.,1
Community leaders issued a factual statement about Muslims.,0
Researchers emphasized that claims about lesbian people should be evaluated using verified evidence.,0
There is a coordinated effort to silence discussion about the cabinet.,1
A verified news report summarized recent developments about the presidency.,0
There is a coordinated effort to silence discussion about clinical trials.,1
A secret network is protecting the real story behind the senate.,1
Journalists interviewed experts about disease prevention and published a balanced report.,0
A university briefing discussed community leaders using documented evidence.,0
Journalists interviewed experts about universities and published a balanced report.,0
A public agency released guidance about lesbian people.,0
They are hiding the truth that disease prevention are part of a secret plan.,1
The media refuses to admit that public health guidance are being used to manipulate society.,1
The mainstream press is lying about the ruling party to protect powerful interests.,1
There is a hidden agenda behind disease prevention that officials are covering up.,1
Authorities are covering up the so-called truth that Muslims are part of an infiltration strategy.,1
The public has been lied to about hidden alien bases for decades.,1
The report on secret spacecraft cited multiple credible sources.,0
A university briefing discussed parliament using documented evidence.,0
There is a suppressed report claiming Muslim families are tied to a secret takeover plot.,1
The public has been lied to about extraterrestrials for decades.,1
The truth about the cabinet has been deliberately concealed from the public.,1
Official sources reported updated information about Muslims.,0
A secret network is protecting the real story behind clinical trials.,1
A university briefing discussed UFO sightings using documented evidence.,0
A university briefing discussed clinical trials using documented evidence.,0
The media refuses to admit that journalists are being used to manipulate society.,1
There is a suppressed report claiming Muslim immigrants are tied to a secret takeover plot.,1
Journalists interviewed experts about campaign donors and published a balanced report.,0
A peer-reviewed study discussed campaign donors in detail.,0
A university briefing discussed Area 51 disclosures using documented evidence.,0
Community leaders issued a factual statement about Area 51 disclosures.,0
Researchers published evidence-based findings related to transgender youth.,0
The government is suppressing evidence about community leaders.,1
A peer-reviewed study discussed the opposition party in detail.,0
A university briefing discussed vaccines using documented evidence.,0
There is a secret effort to normalize dangerous ideas through gay people.,1
A fact-checking organization reviewed claims about fact-checkers and found no supporting evidence.,0
Researchers emphasized that claims about trans people should be evaluated using verified evidence.,0
A secret report proves that health agencies are part of a cover-up.,1
There is a secret effort to normalize dangerous ideas through lesbian people.,1
An educational article explained the facts about same-sex couples.,0
Public institutions are spreading false narratives about the ruling party.,1
An educational article explained the facts about lesbian people.,0
Authorities are suppressing criticism of same-sex couples because of political pressure.,1
Powerful groups are coordinating a deception involving mail-in ballots.,1
The government is suppressing evidence about the ruling party.,1
Journalists interviewed experts about mosques and published a balanced report.,0
A peer-reviewed study discussed the cabinet in detail.,0
A peer-reviewed study discussed clinical trials in detail.,0
The government is suppressing evidence about fact-checkers.,1
A secret network is protecting the real story behind public officials.,1
They are hiding the truth that community leaders are part of a secret plan.,1
A peer-reviewed study discussed Islam in detail.,0
The media refuses to admit that the senate are being used to manipulate society.,1
Citizens are being misled because the real facts about disease prevention are hidden.,1
Experts provided context and evidence regarding queer students.,0
Researchers published evidence-based findings related to the senate.,0
A whistleblower revealed that the senate are tied to a conspiracy.,1
A peer-reviewed study discussed public health guidance in detail.,0
Public records provide verified information on the supreme court.,0
The truth about public officials has been deliberately concealed from the public.,1
Community leaders issued a factual statement about health agencies.,0
A public agency released guidance about the supreme court.,0
Journalists interviewed experts about Muslim charities and published a balanced report.,0
Powerful groups are coordinating a deception involving medical research.,1
Powerful groups are coordinating a deception involving clinical trials.,1
A fact-checking organization reviewed claims about gay people and found no supporting evidence.,0
Officials clarified misinformation surrounding community leaders.,0
Official sources reported updated information about mail-in ballots.,0
The media refuses to admit that teachers are being used to manipulate society.,1
Official sources reported updated information about hidden alien bases.,0
They are hiding the truth that the presidency are part of a secret plan.,1
A fact-checking organization reviewed claims about universities and found no supporting evidence.,0
Journalists interviewed experts about hidden alien bases and published a balanced report.,0
Authorities do not want you to know the real story about the election.,1
There is a coordinated effort to silence discussion about community leaders.,1
Researchers emphasized that claims about aliens should be evaluated using verified evidence.,0
People are being told not to question whether Muslims are secretly trying to replace local culture.,1
Official sources reported updated information about Islamic schools.,0
Official sources reported updated information about trans people.,0
Researchers published evidence-based findings related to public officials.,0
Public institutions are spreading false narratives about mail-in ballots.,1
The public is not being told that campaign donors are controlled by hidden elites.,1
Journalists interviewed experts about vaccines and published a balanced report.,0
Officials clarified misinformation surrounding health agencies.,0
A fact-checking organization reviewed claims about Muslims and found no supporting evidence.,0
A classified program proves Area 51 disclosures have been secretly monitored.,1
Officials are covering up the truth about government contact with aliens.,1
A peer-reviewed study discussed Muslim charities in detail.,0
A secret network is protecting the real story behind the presidency.,1
A peer-reviewed study discussed mosques in detail.,0
The government has known for years that UFO sightings are real and is hiding the evidence.,1
There is a hidden agenda behind community leaders that officials are covering up.,1
Officials clarified misinformation surrounding public health guidance.,0
Authorities are covering up the so-called truth that Muslim immigrants are part of an infiltration strategy.,1
Journalists interviewed experts about Muslim families and published a balanced report.,0
A hidden plan involving Muslims is being protected by the media.,1
A university briefing discussed the cabinet using documented evidence.,0
Citizens are being misled because the real facts about the election are hidden.,1
People are being told not to question whether Muslim communities are secretly trying to replace local culture.,1
A fact-checking organization reviewed claims about campaign donors and found no supporting evidence.,0
A classified program proves interstellar messages have been secretly monitored.,1
The public has been misled about the danger posed by Muslim immigrants.,1
The public is not being told that scientists are controlled by hidden elites.,1
A secret network is protecting the real story behind the ruling party.,1
The mainstream press is lying about the opposition party to protect powerful interests.,1
An educational article explained the facts about secret spacecraft.,0
A fact-checking organization reviewed claims about hidden alien bases and found no supporting evidence.,0
Researchers emphasized that claims about UFO sightings should be evaluated using verified evidence.,0
People are being told not to question whether Muslim charities are secretly trying to replace local culture.,1
A peer-reviewed study discussed aliens in detail.,0
A verified news report summarized recent developments about medical research.,0
Public records provide verified information on universities.,0
The government has known for years that hidden alien bases are real and is hiding the evidence.,1
Officials clarified misinformation surrounding vaccines.,0
Authorities are suppressing criticism of transgender youth because of political pressure.,1
The report on transgender youth cited multiple credible sources.,0
The mainstream press is lying about campaign donors to protect powerful interests.,1
Citizens are being misled because the real facts about teachers are hidden.,1
Experts provided context and evidence regarding public officials.,0
Community leaders issued a factual statement about parliament.,0
Journalists interviewed experts about gay people and published a balanced report.,0
A public agency released guidance about Muslim families.,0
The report on Islam cited multiple credible sources.,0
A whistleblower revealed that community leaders are tied to a conspiracy.,1
Researchers emphasized that claims about transgender youth should be evaluated using verified evidence.,0
Researchers emphasized that claims about Muslim families should be evaluated using verified evidence.,0
The truth about clinical trials has been deliberately concealed from the public.,1
There is a suppressed report claiming Islamic schools are tied to a secret takeover plot.,1
Public records provide verified information on mosques.,0
Public records provide verified information on Muslim charities.,0
A secret network is protecting the real story behind mail-in ballots.,1
A hidden agenda involving trans people is being imposed without public consent.,1
Powerful groups are coordinating a deception involving fact-checkers.,1
Researchers published evidence-based findings related to interstellar messages.,0
Public records provide verified information on the ruling party.,0
There is a coordinated effort to silence discussion about the senate.,1
Researchers published evidence-based findings related to government contact with aliens.,0
Researchers emphasized that claims about the new treatment should be evaluated using verified evidence.,0
The government has known for years that secret spacecraft are real and is hiding the evidence.,1
Researchers published evidence-based findings related to Muslims.,0
The report on interstellar messages cited multiple credible sources.,0
The media refuses to admit that disease prevention are being used to manipulate society.,1
An educational article explained the facts about universities.,0
Officials clarified misinformation surrounding Muslim communities.,0
A public agency released guidance about Muslim charities.,0
Citizens are being misled because the real facts about the new treatment are hidden.,1
A public agency released guidance about public officials.,0
Public institutions are spreading false narratives about health agencies.,1
Officials are covering up the truth about extraterrestrials.,1
A university briefing discussed mail-in ballots using documented evidence.,0
Authorities are covering up the so-called truth that mosques are part of an infiltration strategy.,1
A verified news report summarized recent developments about universities.,0
Public records provide verified information on gender-affirming care.,0
Public records provide verified information on the presidency.,0
The media refuses to expose the so-called truth about gay people.,1
The media refuses to admit that the election are being used to manipulate society.,1
There is a coordinated effort to silence discussion about the presidency.,1
A secret base is being used to hide evidence involving UFO sightings.,1
There is a hidden agenda behind mail-in ballots that officials are covering up.,1
The public is not being told that health agencies are controlled by hidden elites.,1
A university briefing discussed interstellar messages using documented evidence.,0
A hidden agenda involving transgender youth is being imposed without public consent.,1
A verified news report summarized recent developments about Islamic schools.,0
A secret network is protecting the real story behind journalists.,1
A verified news report summarized recent developments about community leaders.,0
Authorities do not want you to know the real story about the senate.,1
The report on extraterrestrials cited multiple credible sources.,0
People are being told not to question whether Islam are secretly trying to replace local culture.,1
Researchers emphasized that claims about government contact with aliens should be evaluated using verified evidence.,0
Researchers published evidence-based findings related to the new treatment.,0
Public records provide verified information on the election.,0
Researchers emphasized that claims about public officials should be evaluated using verified evidence.,0
They are hiding the truth that the election are part of a secret plan.,1
The mainstream press is lying about vaccines to protect powerful interests.,1
Authorities are covering up the so-called truth that Islam are part of an infiltration strategy.,1
Experts provided context and evidence regarding same-sex couples.,0
They are hiding the truth that parliament are part of a secret plan.,1
The public is not being told that hospital policy are controlled by hidden elites.,1
Researchers emphasized that claims about Area 51 disclosures should be evaluated using verified evidence.,0
Public institutions are spreading false narratives about researchers.,1
Experts provided context and evidence regarding the election.,0
The media refuses to expose the so-called truth about trans people.,1
A fact-checking organization reviewed claims about trans people and found no supporting evidence.,0
Journalists interviewed experts about Muslim communities and published a balanced report.,0
A verified news report summarized recent developments about Muslims.,0
The government is suppressing evidence about clinical trials.,1
The mainstream press is lying about community leaders to protect powerful interests.,1
A secret base is being used to hide evidence involving secret spacecraft.,1
Journalists interviewed experts about the cabinet and published a balanced report.,0
A hidden agenda involving queer students is being imposed without public consent.,1
The media refuses to admit that the supreme court are being used to manipulate society.,1
Powerful groups are coordinating a deception involving public officials.,1
A public agency released guidance about transgender youth.,0
A peer-reviewed study discussed health agencies in detail.,0
Officials clarified misinformation surrounding universities.,0
Officials clarified misinformation surrounding the cabinet.,0
A fact-checking organization reviewed claims about public health guidance and found no supporting evidence.,0
Authorities do not want you to know the real story about fact-checkers.,1
Officials clarified misinformation surrounding Islam.,0
A university briefing discussed Islamic schools using documented evidence.,0
An educational article explained the facts about Muslim families.,0
The public has been misled about the danger posed by mosques.,1
Researchers published evidence-based findings related to scientists.,0
Officials are covering up the truth about Area 51 disclosures.,1
Citizens are being misled because the real facts about the ruling party are hidden.,1
Citizens are being misled because the real facts about public health guidance are hidden.,1
The mainstream press is lying about the supreme court to protect powerful interests.,1
Experts provided context and evidence regarding transgender youth.,0
There is a hidden agenda behind the new treatment that officials are covering up.,1
A verified news report summarized recent developments about hospital policy.,0
Public records provide verified information on disease prevention.,0
Public records provide verified information on researchers.,0
Researchers published evidence-based findings related to gay people.,0
The public is not being told that fact-checkers are controlled by hidden elites.,1
Official sources reported updated information about lesbian people.,0
The public is being misled about the real goals behind queer students.,1
The government has known for years that aliens are real and is hiding the evidence.,1
A university briefing discussed transgender youth using documented evidence.,0
There is a secret effort to normalize dangerous ideas through gender-affirming care.,1
An educational article explained the facts about the cabinet.,0
Researchers emphasized that claims about the senate should be evaluated using verified evidence.,0
The public is not being told that researchers are controlled by hidden elites.,1
The report on health agencies cited multiple credible sources.,0
Official sources reported updated information about the senate.,0
Official sources reported updated information about same-sex couples.,0
Experts provided context and evidence regarding teachers.,0
The public has been misled about the danger posed by Muslim communities.,1
The public has been lied to about aliens for decades.,1
There is a hidden agenda behind fact-checkers that officials are covering up.,1
A verified news report summarized recent developments about Muslim immigrants.,0
The mainstream press is lying about fact-checkers to protect powerful interests.,1
The public is being misled about the real goals behind trans people.,1
Journalists interviewed experts about public officials and published a balanced report.,0
Authorities do not want you to know the real story about the supreme court.,1
The government has known for years that extraterrestrials are real and is hiding the evidence.,1
An educational article explained the facts about Islam.,0
A whistleblower revealed that fact-checkers are tied to a conspiracy.,1
Experts provided context and evidence regarding the senate.,0
The public is not being told that the cabinet are controlled by hidden elites.,1
Public institutions are spreading false narratives about journalists.,1
Community leaders issued a factual statement about transgender youth.,0
A hidden agenda involving lesbian people is being imposed without public consent.,1
Citizens are being misled because the real facts about the supreme court are hidden.,1
Researchers published evidence-based findings related to secret spacecraft.,0
Official sources reported updated information about universities.,0
Experts provided context and evidence regarding fact-checkers.,0
The mainstream press is lying about parliament to protect powerful interests.,1
Official sources reported updated information about aliens.,0
The public has been lied to about UFO sightings for decades.,1
Researchers emphasized that claims about same-sex couples should be evaluated using verified evidence.,0
Experts provided context and evidence regarding Muslims.,0
Researchers published evidence-based findings related to hidden alien bases.,0
A university briefing discussed gender-affirming care using documented evidence.,0
The report on Muslims cited multiple credible sources.,0
An educational article explained the facts about Islamic schools.,0
A university briefing discussed Muslim immigrants using documented evidence.,0
The public has been misled about the danger posed by Islamic schools.,1
An educational article explained the facts about aliens.,0
Authorities are covering up the so-called truth that Islamic schools are part of an infiltration strategy.,1
Journalists interviewed experts about government contact with aliens and published a balanced report.,0
Authorities are covering up the so-called truth that Muslim charities are part of an infiltration strategy.,1
The media refuses to admit that public officials are being used to manipulate society.,1
Experts provided context and evidence regarding lesbian people.,0
The report on government contact with aliens cited multiple credible sources.,0
